# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.874775063334e+01 
       2.326967393807e-05       1.055339249650e+02 
       3.616372998651e-05       1.602138051351e+02 
       4.913726111320e-05       2.156163596010e+02 
       6.222535620176e-05       2.716007644024e+02 
       7.546398357170e-05       3.270393288983e+02 
       8.889031222383e-05       3.834792225315e+02 
       1.025430472460e-04       4.400461574769e+02 
       1.164627836651e-04       4.975429179797e+02 
       1.306923830647e-04       5.561457592211e+02 
       1.452773772941e-04       6.159269696297e+02 
       1.602664035398e-04       6.771399413423e+02 
       1.757116748555e-04       7.399600732987e+02 
       1.916694898929e-04       8.046529630688e+02 
       2.082007849348e-04       8.714554652141e+02 
       2.253717302915e-04       9.406050132286e+02 
       2.432543715042e-04       1.012398180446e+03 
       2.619273134031e-04       1.087133120524e+03 
       2.814764416205e-04       1.165137393182e+03 
       3.019956713488e-04       1.246727337580e+03 
       3.235877065792e-04       1.332311166293e+03 
       3.463647843785e-04       1.422282250537e+03 
       3.704493675765e-04       1.517094097261e+03 
       3.959747352927e-04       1.617230871545e+03 
       4.230854040324e-04       1.723198321080e+03 
       4.519372931199e-04       1.835543707859e+03 
       4.826975282776e-04       1.954840077057e+03 
       5.155437586343e-04       2.081695969585e+03 
       5.506628492774e-04       2.216734637995e+03 
       5.882488092754e-04       2.360587038205e+03 
       6.284998310591e-04       2.513880230761e+03 
       6.716143589179e-04       2.677222512093e+03 
       7.177861786211e-04       2.851174975837e+03 
       7.671986289583e-04       3.036241231766e+03 
       8.200181734658e-04       3.232828974715e+03 
       8.763877198471e-04       3.441223860713e+03 
       9.364202071887e-04       3.661589801821e+03 
       1.000193061254e-03       3.893928467856e+03 
       1.067744112361e-03       4.138064423450e+03 
       1.139069460073e-03       4.393672349133e+03 
       1.214123561532e-03       4.660236445025e+03 
       1.292821551718e-03       4.937122307359e+03 
       1.375043530546e-03       5.223538492490e+03 
       1.460640331997e-03       5.518595826008e+03 
       1.549440166463e-03       5.821391017693e+03 
       1.641255512519e-03       6.130951908283e+03 
       1.735889713222e-03       6.446302976502e+03 
       1.833142870763e-03       6.766456077130e+03 
       1.932816793016e-03       7.090491229847e+03 
       2.034718893978e-03       7.417504782138e+03 
       2.138665067384e-03       7.746690194975e+03 
