# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381672370351e-10       4.179500118300e-15       3.519337186817e-13       0.000000000000e+00       8.236356589157e-09       4.535747673104e-10      -1.842359720006e-12 
    3       1.306686774295e-10       5.354349475996e-15       3.955015529751e-13       0.000000000000e+00       5.068760555738e-09       3.217368787092e-10      -1.394919971868e-12 
    4       1.236002046117e-10       4.628865575647e-15       3.698084459968e-13       0.000000000000e+00       3.524742488076e-09       2.436997695233e-10      -9.127420109049e-13 
    5       1.183077182266e-10       3.086039047559e-15       3.148767557060e-13       0.000000000000e+00       2.631980420916e-09       1.925368336647e-10      -5.069339261227e-13 
    6       1.146780419537e-10       1.724512465843e-15       2.535647161803e-13       0.000000000000e+00       2.056887108956e-09       1.566785467822e-10      -2.081012782960e-13 
    7       1.123124969149e-10       9.315385225474e-16       1.990691881569e-13       0.000000000000e+00       1.660291984531e-09       1.303590417080e-10      -1.764543017914e-14 
    8       1.109311830083e-10       6.011011776506e-16       1.571594919769e-13       0.000000000000e+00       1.372926016955e-09       1.103958555562e-10       7.941421016083e-14 
    9       1.102859790462e-10       4.824288831556e-16       1.291090623005e-13       0.000000000000e+00       1.156601694785e-09       9.490317942001e-11       1.064377403825e-13 
   10       1.101461498282e-10       4.107510820107e-16       1.135895175734e-13       0.000000000000e+00       9.888510230997e-10       8.262924894830e-11       8.927916404360e-14 
   11       1.104530195705e-10       3.446473454878e-16       1.079387762276e-13       0.000000000000e+00       8.333804373662e-10       7.300894790629e-11       5.203129407479e-14 
   12       1.110548413547e-10       2.997606616963e-16       1.090991813353e-13       0.000000000000e+00       7.283489630252e-10       6.455586678431e-11       1.227602964244e-14 
   13       1.119013140304e-10       2.870889011456e-16       1.143864891228e-13       0.000000000000e+00       6.421078125640e-10       5.769178137549e-11      -1.798982074499e-14 
   14       1.129451709704e-10       2.986643598364e-16       1.217804390367e-13       0.000000000000e+00       5.703409201756e-10       5.171509404346e-11      -3.451226129267e-14 
   15       1.141730041740e-10       3.227439662975e-16       1.299915559680e-13       0.000000000000e+00       5.099194172135e-10       4.668824550123e-11      -3.750066603094e-14 
   16       1.155095336448e-10       3.568042938996e-16       1.383568278577e-13       0.000000000000e+00       4.585371790262e-10       4.235498659347e-11      -3.091269877512e-14 
   17       1.169823509033e-10       4.063741553747e-16       1.466585527103e-13       0.000000000000e+00       4.144517885236e-10       3.857279685150e-11      -1.994047618463e-14 
   18       1.185282959547e-10       4.768836554481e-16       1.551536218962e-13       0.000000000000e+00       3.761811711297e-10       3.527410773083e-11      -9.473485859442e-15 
   19       1.201586939746e-10       5.686589387783e-16       1.640641858700e-13       0.000000000000e+00       3.431210272993e-10       3.241161790455e-11      -2.117019853765e-15 
   20       1.218663199987e-10       6.796985768832e-16       1.735311053673e-13       0.000000000000e+00       3.139989590580e-10       2.986969325927e-11       4.181772372931e-16 
   21       1.236523033736e-10       8.093666619611e-16       1.835062213555e-13       0.000000000000e+00       2.883573051460e-10       2.760239599350e-11      -1.297206611431e-15 
   22       1.254904049237e-10       9.571763268602e-16       1.938021962061e-13       0.000000000000e+00       2.655832460049e-10       2.555341872612e-11      -5.509860102686e-15 
   23       1.273871218302e-10       1.123296758117e-15       2.040966111432e-13       0.000000000000e+00       2.453722001436e-10       2.371509741718e-11      -1.047330646890e-14 
   24       1.293369232002e-10       1.307943739700e-15       2.139772042887e-13       0.000000000000e+00       2.272617269546e-10       2.207155562694e-11      -1.433134199337e-14 
   25       1.313345827692e-10       1.511335585465e-15       2.231350698782e-13       0.000000000000e+00       2.110064551899e-10       2.060004821525e-11      -1.626982865855e-14 
   26       1.333623417544e-10       1.733846588356e-15       2.313050149327e-13       0.000000000000e+00       1.962889242891e-10       1.926281646580e-11      -1.595594570283e-14 
   27       1.354297697465e-10       1.977107530283e-15       2.384157791913e-13       0.000000000000e+00       1.830328256257e-10       1.805043868892e-11      -1.390101493176e-14 
   28       1.375395427883e-10       2.243372854859e-15       2.444800218726e-13       0.000000000000e+00       1.710772522347e-10       1.694761090128e-11      -1.111007197250e-14 
   29       1.396807281410e-10       2.534920997791e-15       2.495413256938e-13       0.000000000000e+00       1.601316600048e-10       1.592808174182e-11      -8.704406894320e-15 
   30       1.418598848445e-10       2.852843858454e-15       2.536476075550e-13       0.000000000000e+00       1.501358366500e-10       1.499088190147e-11      -7.073210641030e-15 
   31       1.440786685922e-10       3.197768165434e-15       2.568717220164e-13       0.000000000000e+00       1.410158801974e-10       1.413616257538e-11      -6.396862320677e-15 
   32       1.463289747006e-10       3.570267075086e-15       2.592805958685e-13       0.000000000000e+00       1.326278143749e-10       1.335701921416e-11      -6.762990983056e-15 
   33       1.486102876092e-10       3.971278792967e-15       2.607947796594e-13       0.000000000000e+00       1.249259854910e-10       1.264685071166e-11      -7.819294637503e-15 
   34       1.509162816507e-10       4.401831993274e-15       2.612757683789e-13       0.000000000000e+00       1.178421272923e-10       1.199326165345e-11      -8.978125015596e-15 
   35       1.532357203618e-10       4.862917872089e-15       2.605758875171e-13       0.000000000000e+00       1.112707497718e-10       1.138037611657e-11      -9.648680473564e-15 
   36       1.555756337256e-10       5.355432682442e-15       2.585914241094e-13       0.000000000000e+00       1.051948153004e-10       1.080619368744e-11      -9.767721847415e-15 
   37       1.579446937248e-10       5.880209483822e-15       2.552261149893e-13       0.000000000000e+00       9.959532810924e-11       1.027043393443e-11      -9.449001652986e-15 
   38       1.603462449278e-10       6.438028250194e-15       2.503763804511e-13       0.000000000000e+00       9.441334173844e-11       9.769539745602e-12      -8.846474442353e-15 
   39       1.627793539732e-10       7.029610872252e-15       2.439564635938e-13       0.000000000000e+00       8.957122614038e-11       9.298406822763e-12      -8.133666019934e-15 
   40       1.652439709358e-10       7.655613856608e-15       2.359854831919e-13       0.000000000000e+00       8.505415834168e-11       8.857043017530e-12      -7.426109685423e-15 
