# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381677101842e-10       4.179731157909e-15       3.519337148270e-13       2.310395525130e-19       8.236356589157e-09       4.535747673104e-10      -1.842359720006e-12 
    3       1.306696214289e-10       5.354811643488e-15       3.955015357837e-13       4.621669345471e-19       5.068760555738e-09       3.217368787092e-10      -1.394919971868e-12 
    4       1.236017728985e-10       4.629636050334e-15       3.698083965502e-13       7.704719485564e-19       3.524742488076e-09       2.436997695233e-10      -9.127420109049e-13 
    5       1.183100613458e-10       3.087195124626e-15       3.148766429232e-13       1.156067691086e-18       2.631980420916e-09       1.925368336647e-10      -5.069339261227e-13 
    6       1.146813069790e-10       1.726131583564e-15       2.535644940913e-13       1.619092156322e-18       2.056887108956e-09       1.566785467822e-10      -2.081012782960e-13 
    7       1.123168269571e-10       9.336982881164e-16       1.990687933701e-13       2.159706105774e-18       1.660291984531e-09       1.303590417080e-10      -1.764543017914e-14 
    8       1.109367168236e-10       6.038793911701e-16       1.571588413726e-13       2.778090628062e-18       1.372926016955e-09       1.103958555562e-10       7.941421016083e-14 
    9       1.102928507486e-10       4.859035592363e-16       1.291080509746e-13       3.474444446627e-18       1.156601694785e-09       9.490317942001e-11       1.064377403825e-13 
   10       1.101544887119e-10       4.150004683872e-16       1.135880170521e-13       4.248981038396e-18       9.888510230997e-10       8.262924894830e-11       8.927916404360e-14 
   11       1.104629500402e-10       3.497499380001e-16       1.079366329662e-13       5.101925629926e-18       8.333804373662e-10       7.300894790629e-11       5.203129407479e-14 
   12       1.110664829603e-10       3.057952149701e-16       1.090962155120e-13       6.033512139123e-18       7.283489630252e-10       6.455586678431e-11       1.227602964244e-14 
