# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04206e-05 to 1.06897 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_ur                  14:t_tot              
       1.042057218184e-05      -2.116705545672e+00      -1.587529682735e+00      -1.587529682733e+00      -2.116705530697e+00      -9.922773384874e-04      -1.587684968680e+00       4.711511886324e-01       4.710059043689e-01       1.165970259273e-07       1.167418680371e-07       1.167418688362e-07       1.165945881580e-07       1.167418116545e-07 
       1.311872312515e-05      -2.117456770555e+00      -1.588093835019e+00      -1.588093835003e+00      -2.117456735036e+00      -1.542858935316e-03      -1.588249175846e+00       4.711548402732e-01       4.710096145448e-01       1.846708601013e-07       1.850249749519e-07       1.850249757430e-07       1.846649643416e-07       1.850248361365e-07 
       1.651549391254e-05      -2.118667182823e+00      -1.589003573749e+00      -1.589003573824e+00      -2.118667092026e+00      -2.450421498838e-03      -1.589159002878e+00       4.711554184017e-01       4.710102942987e-01       2.923525083925e-07       2.932452172271e-07       2.932452282661e-07       2.923375372714e-07       2.932448748829e-07 
       2.079177497483e-05      -2.120617948042e+00      -1.590471600116e+00      -1.590471600447e+00      -2.120617715330e+00      -3.939688393000e-03      -1.590627171102e+00       4.711475959934e-01       4.710026373858e-01       4.624871162294e-07       4.647561161584e-07       4.647561458063e-07       4.624490288530e-07       4.647552473556e-07 
       2.617529387212e-05      -2.123631884880e+00      -1.592744321925e+00      -1.592744322702e+00      -2.123631299126e+00      -6.196184768770e-03      -1.592900110754e+00       4.711531953579e-01       4.710084909248e-01       7.309235405194e-07       7.365963217059e-07       7.365963879179e-07       7.308279079135e-07       7.365941428595e-07 
       3.295274261680e-05      -2.128469233705e+00      -1.596403422116e+00      -1.596403424239e+00      -2.128467758797e+00      -9.883794547288e-03      -1.596559557728e+00       4.711430032223e-01       4.709987079695e-01       1.153102864297e-06       1.167405455433e-06       1.167405635246e-06       1.152862523014e-06       1.167399972953e-06 
       4.148504506860e-05      -2.136035556161e+00      -1.602155845695e+00      -1.602155851373e+00      -2.136031849564e+00      -1.563550735904e-02      -1.602312516322e+00       4.711424928050e-01       4.709988381358e-01       1.814396663866e-06       1.850213647986e-06       1.850214103295e-06       1.813794746135e-06       1.850199922812e-06 
       5.222657744628e-05      -2.147963730684e+00      -1.611296927274e+00      -1.611296941188e+00      -2.147954447853e+00      -2.479794856435e-02      -1.611454422040e+00       4.711335820633e-01       4.709909413336e-01       2.842627015486e-06       2.932351193841e-06       2.932352336533e-06       2.841123927479e-06       2.932316813811e-06 
       6.574936551816e-05      -2.166631043834e+00      -1.625785882606e+00      -1.625785917931e+00      -2.166607820640e+00      -3.932659511574e-02      -1.625944619876e+00       4.711188299256e-01       4.709777887984e-01       4.422967225797e-06       4.647346327262e-06       4.647349205794e-06       4.419226437585e-06       4.647260371405e-06 
       8.277354706016e-05      -2.195609123971e+00      -1.648738278867e+00      -1.648738368326e+00      -2.195551255452e+00      -6.233010399980e-02      -1.648898825828e+00       4.710988209022e-01       4.709602861626e-01       6.806301851443e-06       7.365308225939e-06       7.365315444722e-06       6.797053649556e-06       7.365094131329e-06 
