# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381660649647e-10       4.179447964863e-15       3.519265508630e-13       0.000000000000e+00       8.236249120604e-09       4.535757380253e-10      -1.842347297304e-12 
    3       1.306679612662e-10       5.354304281238e-15       3.954958179428e-13       0.000000000000e+00       5.068683578791e-09       3.217368645991e-10      -1.394914121163e-12 
    4       1.235998557557e-10       4.628838250160e-15       3.698044752860e-13       0.000000000000e+00       3.524680693309e-09       2.436993362392e-10      -9.127402275497e-13 
    5       1.183076843520e-10       3.086025577346e-15       3.148740401366e-13       0.000000000000e+00       2.631927415781e-09       1.925361682155e-10      -5.069341899379e-13 
    6       1.146782523246e-10       1.724505784516e-15       2.535626858018e-13       0.000000000000e+00       2.056840461486e-09       1.566774788477e-10      -2.081020530612e-13 
    7       1.123128376032e-10       9.315336888540e-16       1.990677104031e-13       0.000000000000e+00       1.660250493921e-09       1.303574060369e-10      -1.764588350893e-14 
    8       1.109315349386e-10       6.010960180586e-16       1.571583846303e-13       0.000000000000e+00       1.372888390879e-09       1.103938060085e-10       7.941425757289e-14 
    9       1.102863918524e-10       4.824228982238e-16       1.291078600862e-13       0.000000000000e+00       1.156567203936e-09       9.490105003164e-11       1.064381408813e-13 
   10       1.101466604463e-10       4.107442062756e-16       1.135878896784e-13       0.000000000000e+00       9.888195972262e-10       8.262711830342e-11       8.927970861013e-14 
   11       1.104535038265e-10       3.446392773272e-16       1.079365426710e-13       0.000000000000e+00       8.333510790146e-10       7.300652690432e-11       5.203180956865e-14 
   12       1.110552332265e-10       2.997508337935e-16       1.090963637027e-13       0.000000000000e+00       7.283221446671e-10       6.455332774340e-11       1.227640617414e-14 
   13       1.119016753848e-10       2.870767094030e-16       1.143831457478e-13       0.000000000000e+00       6.420831896441e-10       5.768945576988e-11      -1.798964634410e-14 
   14       1.129456037962e-10       2.986494933906e-16       1.217766708697e-13       0.000000000000e+00       5.703184604478e-10       5.171305136789e-11      -3.451224543110e-14 
   15       1.141735032618e-10       3.227256854843e-16       1.299875321327e-13       0.000000000000e+00       5.098987193956e-10       4.668628542520e-11      -3.750071670716e-14 
   16       1.155099957047e-10       3.567810363289e-16       1.383524350757e-13       0.000000000000e+00       4.585180612118e-10       4.235297447591e-11      -3.091264313622e-14 
   17       1.169827339339e-10       4.063444950126e-16       1.466535894851e-13       0.000000000000e+00       4.144340997623e-10       3.857094626059e-11      -1.994028257542e-14 
