# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381665381017e-10       4.179679010941e-15       3.519265470087e-13       2.310460209839e-19       8.236249120604e-09       4.535757380253e-10      -1.842347297304e-12 
    3       1.306689052414e-10       5.354766461649e-15       3.954958007529e-13       4.621798532401e-19       5.068683578791e-09       3.217368645991e-10      -1.394914121163e-12 
    4       1.236014240024e-10       4.629608746339e-15       3.698044258437e-13       7.704934401299e-19       3.524680693309e-09       2.436993362392e-10      -9.127402275497e-13 
    5       1.183100274114e-10       3.087181686581e-15       3.148739273637e-13       1.156099856525e-18       2.631927415781e-09       1.925361682155e-10      -5.069341899379e-13 
    6       1.146815172667e-10       1.726124947160e-15       2.535624637321e-13       1.619137071698e-18       2.056840461486e-09       1.566774788477e-10      -2.081020530612e-13 
    7       1.123171675354e-10       9.336935141556e-16       1.990673156504e-13       2.159765820308e-18       1.660250493921e-09       1.303574060369e-10      -1.764588350893e-14 
    8       1.109370686135e-10       6.038743081516e-16       1.571577340818e-13       2.778167163597e-18       1.372888390879e-09       1.103938060085e-10       7.941425757289e-14 
    9       1.102932633810e-10       4.858976697294e-16       1.291068488462e-13       3.474539798564e-18       1.156567203936e-09       9.490105003164e-11       1.064381408813e-13 
   10       1.101549991196e-10       4.149937089218e-16       1.135863892832e-13       4.249097178072e-18       9.888195972262e-10       8.262711830342e-11       8.927970861013e-14 
   11       1.104634340463e-10       3.497420089367e-16       1.079343995877e-13       5.102064508329e-18       8.333510790146e-10       7.300652690432e-11       5.203180956865e-14 
   12       1.110668745399e-10       3.057855509703e-16       1.090933981227e-13       6.033675691796e-18       7.283221446671e-10       6.455332774340e-11       1.227640617414e-14 
   13       1.119151426153e-10       2.941224332570e-16       1.143791506770e-13       7.044170283266e-18       6.420831896441e-10       5.768945576988e-11      -1.798964634410e-14 
   14       1.129610072610e-10       3.067855096798e-16       1.217714115151e-13       8.133790524728e-18       5.703184604478e-10       5.171305136789e-11      -3.451224543110e-14 
   15       1.141909490611e-10       3.320315386313e-16       1.299807455799e-13       9.302778520660e-18       5.098987193956e-10       4.668628542520e-11      -3.750071670716e-14 
   16       1.155295860677e-10       3.673365168801e-16       1.383438302475e-13       1.055137360985e-17       4.585180612118e-10       4.235297447591e-11      -3.091264313622e-14 
   17       1.170045676050e-10       4.182296202566e-16       1.466428473688e-13       1.187980998275e-17       4.144340997623e-10       3.857094626059e-11      -1.994028257542e-14 
   18       1.185527791124e-10       4.901417798876e-16       1.551348967945e-13       1.328831449093e-17       3.761647960285e-10       3.527258121569e-11      -9.473222532564e-15 
   19       1.201855537679e-10       5.833992470113e-16       1.640422145767e-13       1.477710533916e-17       3.431058568413e-10       3.241035294111e-11      -2.116732384200e-15 
   20       1.218956675802e-10       6.960003816793e-16       1.735056614351e-13       1.634638959330e-17       3.139848907978e-10       2.986842030781e-11       4.184936377582e-16 
   21       1.236842483136e-10       8.273090782452e-16       1.834769249911e-13       1.799636358807e-17       2.883442347884e-10       2.760104633429e-11      -1.296880192454e-15 
   22       1.255250544036e-10       9.768382960608e-16       1.937684789962e-13       1.972721036840e-17       2.655710798048e-10       2.555222803726e-11      -5.509581755848e-15 
   23       1.274245855577e-10       1.144757378016e-15       2.040579519832e-13       2.153910169242e-17       2.453608540080e-10       2.371414920858e-11      -1.047309413839e-14 
   24       1.293773094414e-10       1.331282302460e-15       2.139332064260e-13       2.343219503200e-17       2.272511353918e-10       2.207066174740e-11      -1.433115304267e-14 
   25       1.313779711788e-10       1.536631077738e-15       2.230853425220e-13       2.540663619859e-17       2.109965589698e-10       2.059911403525e-11      -1.626963685545e-14 
   26       1.334087773539e-10       1.761177483935e-15       2.312491332018e-13       2.746255729084e-17       1.962796716130e-10       1.926194543362e-11      -1.595576339274e-14 
   27       1.354792995596e-10       2.006551884216e-15       2.383532835558e-13       2.960008357965e-17       1.830241637272e-10       1.804972853594e-11      -1.390085223970e-14 
   28       1.375922314595e-10       2.275008276939e-15       2.444104130756e-13       3.181932670090e-17       1.710691305548e-10       1.694707400690e-11      -1.110992096015e-14 
   29       1.397366605627e-10       2.568824594311e-15       2.494640651005e-13       3.412038486126e-17       1.601240354070e-10       1.592764382572e-11      -8.704241145894e-15 
   30       1.419191535972e-10       2.889092247834e-15       2.535621442875e-13       3.650335512947e-17       1.501286673306e-10       1.499047474232e-11      -7.073002601871e-15 
   31       1.441413708133e-10       3.236437445419e-15       2.567775041626e-13       3.896832465498e-17       1.410091275580e-10       1.413576052214e-11      -6.396590018293e-15 
   32       1.463952075826e-10       3.611432808433e-15       2.591770761642e-13       4.151537005186e-17       1.326214463329e-10       1.335664050004e-11      -6.762641818574e-15 
