# Matter power spectrum P(k) at redshift z=0
# for k=1.04674e-05 to 1.09816 h/Mpc,
# number of wavenumbers equal to 604
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046737324757e-05       4.323317777973e-14 
       2.331835015504e-05       9.316881122913e-14 
       3.621442134241e-05       1.410479851014e-13 
       4.919012344060e-05       1.867249047307e-13 
       6.228056265873e-05       2.298409968996e-13 
       7.552172636682e-05       2.699642088523e-13 
       8.895080461014e-05       3.066270444629e-13 
       1.026065258126e-04       3.393426847178e-13 
       1.165295109593e-04       3.676155198489e-13 
       1.307626505818e-04       3.909509656223e-13 
       1.453515088763e-04       4.088672220504e-13 
       1.603447592284e-04       4.209102089170e-13 
       1.757946552439e-04       4.266730820757e-13 
       1.917575410288e-04       4.258212440825e-13 
       2.082944038194e-04       4.181236046934e-13 
       2.254714710169e-04       4.034904877777e-13 
       2.433608520623e-04       3.820180037976e-13 
       2.620412231797e-04       3.540370892758e-13 
       2.815985495625e-04       3.201646032309e-13 
       3.021268347478e-04       2.813498341816e-13 
       3.237288803586e-04       2.389082059355e-13 
       3.465170306837e-04       1.945278492674e-13 
       3.706138653613e-04       1.502336582451e-13 
       3.961527894476e-04       1.082871296624e-13 
       4.232784534264e-04       7.100589087492e-14 
       4.521469167165e-04       4.049481322037e-14 
       4.829254482551e-04       1.830112449834e-14 
       5.157918392158e-04       5.046048256054e-15 
       5.509330897819e-04       1.291363113228e-16 
       5.885433298180e-04       1.646295849488e-15 
       6.288208494094e-04       6.663349684028e-15 
       6.719641573700e-04       1.190676019000e-14 
       7.181670604068e-04       1.474370048451e-14 
       7.676128647757e-04       1.407473439859e-14 
       8.204679400494e-04       1.062144012648e-14 
       8.768750340131e-04       6.288921147352e-15 
       9.369468601652e-04       2.882854574829e-15 
       1.000760558995e-03       1.081036126517e-15 
       1.068353627624e-03       4.769933557547e-16 
       1.139721801131e-03       4.823128577963e-16 
       1.214819160541e-03       9.117986498068e-16 
       1.293560473371e-03       1.610192254020e-15 
       1.375825499148e-03       2.019556847606e-15 
       1.461464773092e-03       1.682507243195e-15 
       1.550306257955e-03       9.037056857473e-16 
       1.642162240003e-03       3.256936087733e-16 
       1.736835924777e-03       1.280495045620e-16 
       1.834127327571e-03       1.505941247331e-16 
       1.933838213433e-03       3.190386998775e-16 
       2.035775989895e-03       4.910410201930e-16 
       2.139756572710e-03       4.448930538036e-16 
       2.245606323575e-03       2.390390898337e-16 
       2.353163201515e-03       9.464195607552e-17 
       2.462277283681e-03       6.076852103992e-17 
       2.572810805818e-03       9.322372327644e-17 
       2.684637855738e-03       1.421721744716e-16 
       2.797643831155e-03       1.313389902475e-16 
       2.911724750446e-03       7.010315160174e-17 
       3.026786483885e-03       3.035320239214e-17 
       3.142743954867e-03       2.744403736323e-17 
       3.259520345889e-03       4.923852757708e-17 
       3.377046332607e-03       6.731802762777e-17 
       3.495259360508e-03       4.939400040008e-17 
       3.614102972444e-03       1.926303302710e-17 
       3.733526190653e-03       7.179855738038e-18 
       3.853482953854e-03       9.651836529815e-18 
       3.973931607882e-03       2.057403699734e-17 
       4.094834447112e-03       2.477351769472e-17 
       4.216157303140e-03       1.483417242017e-17 
       4.337869176887e-03       6.027788234523e-18 
       4.459941910194e-03       5.164383436142e-18 
       4.582349893064e-03       1.045815996271e-17 
       4.705069802907e-03       1.537650123086e-17 
       4.828080372381e-03       0.000000000000e+00 
       4.951362182725e-03       0.000000000000e+00 
       5.074897479737e-03       0.000000000000e+00 
       5.198670009863e-03       0.000000000000e+00 
       5.322664874106e-03       0.000000000000e+00 
       5.446868397720e-03       0.000000000000e+00 
       5.571268013895e-03       0.000000000000e+00 
       5.695852159816e-03       0.000000000000e+00 
       5.820610183699e-03       0.000000000000e+00 
       5.945532261546e-03       0.000000000000e+00 
       6.070609322523e-03       0.000000000000e+00 
       6.195832981978e-03       0.000000000000e+00 
       6.321195481267e-03       0.000000000000e+00 
       6.446689633609e-03       0.000000000000e+00 
       6.572308775312e-03       0.000000000000e+00 
       6.698046721796e-03       0.000000000000e+00 
       6.823897727872e-03       0.000000000000e+00 
       6.949856451838e-03       0.000000000000e+00 
       7.075917922975e-03       0.000000000000e+00 
       7.202077512097e-03       0.000000000000e+00 
       7.328330904818e-03       0.000000000000e+00 
       7.454674077275e-03       0.000000000000e+00 
       7.581103274053e-03       0.000000000000e+00 
       7.707614988073e-03       0.000000000000e+00 
       7.834205942269e-03       0.000000000000e+00 
       7.960873072865e-03       0.000000000000e+00 
       8.087613514098e-03       0.000000000000e+00 
       8.214424584248e-03       0.000000000000e+00 
       8.341303772847e-03       0.000000000000e+00 
       8.468248728962e-03       0.000000000000e+00 
       8.595257250446e-03       0.000000000000e+00 
       8.722327274068e-03       0.000000000000e+00 
       8.849456866442e-03       0.000000000000e+00 
       8.976644215689e-03       0.000000000000e+00 
       9.103887623752e-03       0.000000000000e+00 
       9.231185499322e-03       0.000000000000e+00 
       9.358536351315e-03       0.000000000000e+00 
       9.485938782845e-03       0.000000000000e+00 
       9.613391485666e-03       0.000000000000e+00 
       9.740893235029e-03       0.000000000000e+00 
       9.868442884927e-03       0.000000000000e+00 
       9.996039363696e-03       0.000000000000e+00 
       1.012368166994e-02       0.000000000000e+00 
       1.025136886875e-02       0.000000000000e+00 
       1.037910008820e-02       0.000000000000e+00 
       1.050687451613e-02       0.000000000000e+00 
       1.063469139707e-02       0.000000000000e+00 
       1.076255002950e-02       0.000000000000e+00 
       1.089044976321e-02       0.000000000000e+00 
       1.101838999691e-02       0.000000000000e+00 
       1.114637017596e-02       0.000000000000e+00 
       1.127438979030e-02       0.000000000000e+00 
       1.140244837251e-02       0.000000000000e+00 
       1.153054549598e-02       0.000000000000e+00 
       1.165868077324e-02       0.000000000000e+00 
       1.178685385440e-02       0.000000000000e+00 
       1.191506442572e-02       0.000000000000e+00 
       1.204331220821e-02       0.000000000000e+00 
       1.217159695638e-02       0.000000000000e+00 
       1.229991845712e-02       0.000000000000e+00 
       1.242827652856e-02       0.000000000000e+00 
       1.255667101906e-02       0.000000000000e+00 
       1.268510180634e-02       0.000000000000e+00 
       1.281356879650e-02       0.000000000000e+00 
       1.294207192333e-02       0.000000000000e+00 
       1.307061114749e-02       0.000000000000e+00 
       1.319918645584e-02       0.000000000000e+00 
       1.332779786080e-02       0.000000000000e+00 
       1.345644539979e-02       0.000000000000e+00 
       1.358512913465e-02       0.000000000000e+00 
       1.371384915117e-02       0.000000000000e+00 
       1.384260555865e-02       0.000000000000e+00 
       1.397139848945e-02       0.000000000000e+00 
       1.410022809863e-02       0.000000000000e+00 
       1.422909456364e-02       0.000000000000e+00 
       1.435799808397e-02       0.000000000000e+00 
       1.448693888092e-02       0.000000000000e+00 
       1.461591719731e-02       0.000000000000e+00 
       1.474493329732e-02       0.000000000000e+00 
       1.487398746627e-02       0.000000000000e+00 
       1.500308001048e-02       0.000000000000e+00 
       1.513221125715e-02       0.000000000000e+00 
       1.526138155422e-02       0.000000000000e+00 
       1.539059127034e-02       0.000000000000e+00 
       1.551984079475e-02       0.000000000000e+00 
       1.564913053730e-02       0.000000000000e+00 
       1.577846092842e-02       0.000000000000e+00 
       1.590783241911e-02       0.000000000000e+00 
       1.603724548099e-02       0.000000000000e+00 
       1.616670060635e-02       0.000000000000e+00 
       1.629619830820e-02       0.000000000000e+00 
       1.642573912036e-02       0.000000000000e+00 
       1.655532359757e-02       0.000000000000e+00 
       1.668495231564e-02       0.000000000000e+00 
       1.681462587154e-02       0.000000000000e+00 
       1.694434488359e-02       0.000000000000e+00 
       1.707410999165e-02       0.000000000000e+00 
       1.720392185729e-02       0.000000000000e+00 
       1.733378116400e-02       0.000000000000e+00 
       1.746368861742e-02       0.000000000000e+00 
       1.759364494561e-02       0.000000000000e+00 
       1.772365089929e-02       0.000000000000e+00 
       1.785370725210e-02       0.000000000000e+00 
       1.798381480093e-02       0.000000000000e+00 
       1.811397436622e-02       0.000000000000e+00 
       1.824418679227e-02       0.000000000000e+00 
       1.837445294760e-02       0.000000000000e+00 
       1.850477372532e-02       0.000000000000e+00 
       1.863515004348e-02       0.000000000000e+00 
       1.876558284548e-02       0.000000000000e+00 
       1.889607310052e-02       0.000000000000e+00 
       1.902662180394e-02       0.000000000000e+00 
       1.915722997776e-02       0.000000000000e+00 
       1.928789867109e-02       0.000000000000e+00 
       1.941862896062e-02       0.000000000000e+00 
       1.954942195115e-02       0.000000000000e+00 
       1.968027877606e-02       0.000000000000e+00 
       1.981120059790e-02       0.000000000000e+00 
       1.994218860891e-02       0.000000000000e+00 
       2.007324403162e-02       0.000000000000e+00 
       2.020436811943e-02       0.000000000000e+00 
       2.033556215723e-02       0.000000000000e+00 
       2.046682746206e-02       0.000000000000e+00 
       2.059816538375e-02       0.000000000000e+00 
       2.072957730558e-02       0.000000000000e+00 
       2.086106464505e-02       0.000000000000e+00 
       2.099262885452e-02       0.000000000000e+00 
       2.112427142204e-02       0.000000000000e+00 
       2.125599387207e-02       0.000000000000e+00 
       2.138779776631e-02       0.000000000000e+00 
       2.151968470449e-02       0.000000000000e+00 
       2.165165632527e-02       0.000000000000e+00 
       2.178371430706e-02       0.000000000000e+00 
       2.191586036898e-02       0.000000000000e+00 
       2.204809627174e-02       0.000000000000e+00 
       2.218042381865e-02       0.000000000000e+00 
       2.231284485658e-02       0.000000000000e+00 
       2.244536127699e-02       0.000000000000e+00 
       2.257797501699e-02       0.000000000000e+00 
       2.271068806044e-02       0.000000000000e+00 
       2.284350243903e-02       0.000000000000e+00 
       2.297642023351e-02       0.000000000000e+00 
       2.310944357479e-02       0.000000000000e+00 
       2.324257464527e-02       0.000000000000e+00 
       2.337581568003e-02       0.000000000000e+00 
       2.350916896818e-02       0.000000000000e+00 
       2.364263685421e-02       0.000000000000e+00 
       2.377622173937e-02       0.000000000000e+00 
       2.390992608313e-02       0.000000000000e+00 
       2.404375240463e-02       0.000000000000e+00 
       2.417770328426e-02       0.000000000000e+00 
       2.431178136520e-02       0.000000000000e+00 
       2.444598935509e-02       0.000000000000e+00 
       2.458033002767e-02       0.000000000000e+00 
       2.471480622456e-02       0.000000000000e+00 
       2.484942085706e-02       0.000000000000e+00 
       2.498417690798e-02       0.000000000000e+00 
       2.511907743356e-02       0.000000000000e+00 
       2.525412556549e-02       0.000000000000e+00 
       2.538932451291e-02       0.000000000000e+00 
       2.552467756456e-02       0.000000000000e+00 
       2.566018809097e-02       0.000000000000e+00 
       2.579585954669e-02       0.000000000000e+00 
       2.593169547269e-02       0.000000000000e+00 
       2.606769949870e-02       0.000000000000e+00 
       2.620387534580e-02       0.000000000000e+00 
       2.634022682895e-02       0.000000000000e+00 
       2.647675785970e-02       0.000000000000e+00 
       2.661347244896e-02       0.000000000000e+00 
       2.675037470989e-02       0.000000000000e+00 
       2.688746886085e-02       0.000000000000e+00 
       2.702475922851e-02       0.000000000000e+00 
       2.716225025104e-02       0.000000000000e+00 
       2.729994648142e-02       0.000000000000e+00 
       2.743785259086e-02       0.000000000000e+00 
       2.757597337240e-02       0.000000000000e+00 
       2.771431374457e-02       0.000000000000e+00 
       2.785287875522e-02       0.000000000000e+00 
       2.799167358553e-02       0.000000000000e+00 
       2.813070355411e-02       0.000000000000e+00 
       2.826997412129e-02       0.000000000000e+00 
       2.840949089355e-02       0.000000000000e+00 
       2.854925962821e-02       0.000000000000e+00 
       2.868928623816e-02       0.000000000000e+00 
       2.882957679688e-02       0.000000000000e+00 
       2.897013754366e-02       0.000000000000e+00 
       2.911097488896e-02       0.000000000000e+00 
       2.925209542005e-02       0.000000000000e+00 
       2.939350590687e-02       0.000000000000e+00 
       2.953521330807e-02       0.000000000000e+00 
       2.967722477740e-02       0.000000000000e+00 
       2.981954767032e-02       0.000000000000e+00 
       2.996218955082e-02       0.000000000000e+00 
       3.010515819866e-02       0.000000000000e+00 
       3.024846161680e-02       0.000000000000e+00 
       3.039210803927e-02       0.000000000000e+00 
       3.053610593923e-02       0.000000000000e+00 
       3.068046403755e-02       0.000000000000e+00 
       3.082519131163e-02       0.000000000000e+00 
       3.097029700474e-02       0.000000000000e+00 
       3.111579063563e-02       0.000000000000e+00 
       3.126168200875e-02       0.000000000000e+00 
       3.140798122480e-02       0.000000000000e+00 
       3.155469869185e-02       0.000000000000e+00 
       3.170184513692e-02       0.000000000000e+00 
       3.184943161820e-02       0.000000000000e+00 
       3.199746953771e-02       0.000000000000e+00 
       3.214597065474e-02       0.000000000000e+00 
       3.229494709981e-02       0.000000000000e+00 
       3.244441138933e-02       0.000000000000e+00 
       3.259437644111e-02       0.000000000000e+00 
       3.274485559047e-02       0.000000000000e+00 
       3.289586260729e-02       0.000000000000e+00 
       3.304741171387e-02       0.000000000000e+00 
       3.319951760377e-02       0.000000000000e+00 
       3.335219546155e-02       0.000000000000e+00 
       3.350546098363e-02       0.000000000000e+00 
       3.365933040020e-02       0.000000000000e+00 
       3.381382049835e-02       0.000000000000e+00 
       3.396894864646e-02       0.000000000000e+00 
       3.412473281984e-02       0.000000000000e+00 
       3.428119162798e-02       0.000000000000e+00 
       3.443834434312e-02       0.000000000000e+00 
       3.459621093059e-02       0.000000000000e+00 
       3.475481208083e-02       0.000000000000e+00 
       3.491416924331e-02       0.000000000000e+00 
       3.507430466238e-02       0.000000000000e+00 
       3.523524141533e-02       0.000000000000e+00 
       3.539700345268e-02       0.000000000000e+00 
       3.555961564092e-02       0.000000000000e+00 
       3.572310380796e-02       0.000000000000e+00 
       3.588749479132e-02       0.000000000000e+00 
       3.605281648942e-02       0.000000000000e+00 
       3.621909791612e-02       0.000000000000e+00 
       3.638636925877e-02       0.000000000000e+00 
       3.655466194016e-02       0.000000000000e+00 
       3.672400868444e-02       0.000000000000e+00 
       3.689444358759e-02       0.000000000000e+00 
       3.706600219262e-02       0.000000000000e+00 
       3.723872156999e-02       0.000000000000e+00 
       3.741264040366e-02       0.000000000000e+00 
       3.758779908319e-02       0.000000000000e+00 
       3.776423980257e-02       0.000000000000e+00 
       3.794200666610e-02       0.000000000000e+00 
       3.812114580225e-02       0.000000000000e+00 
       3.830170548595e-02       0.000000000000e+00 
       3.848373627023e-02       0.000000000000e+00 
       3.866729112801e-02       0.000000000000e+00 
       3.885242560499e-02       0.000000000000e+00 
       3.903919798477e-02       0.000000000000e+00 
       3.922766946714e-02       0.000000000000e+00 
       3.941790436122e-02       0.000000000000e+00 
       3.960997029447e-02       0.000000000000e+00 
       3.980393843956e-02       0.000000000000e+00 
       3.999988376066e-02       0.000000000000e+00 
       4.019788528130e-02       0.000000000000e+00 
       4.039802637605e-02       0.000000000000e+00 
       4.060039508857e-02       0.000000000000e+00 
       4.080508447893e-02       0.000000000000e+00 
       4.101219300340e-02       0.000000000000e+00 
       4.122182493050e-02       0.000000000000e+00 
       4.143409079732e-02       0.000000000000e+00 
       4.164910791099e-02       0.000000000000e+00 
       4.186700090061e-02       0.000000000000e+00 
       4.208790232575e-02       0.000000000000e+00 
       4.231195334858e-02       0.000000000000e+00 
       4.253930447769e-02       0.000000000000e+00 
       4.277011639278e-02       0.000000000000e+00 
       4.300456086080e-02       0.000000000000e+00 
       4.324282175596e-02       0.000000000000e+00 
       4.348509619763e-02       0.000000000000e+00 
       4.373159582276e-02       0.000000000000e+00 
       4.398254821185e-02       0.000000000000e+00 
       4.423819849100e-02       0.000000000000e+00 
       4.449881113619e-02       0.000000000000e+00 
       4.476467201057e-02       0.000000000000e+00 
       4.503609067119e-02       0.000000000000e+00 
       4.531340298796e-02       0.000000000000e+00 
       4.559697412591e-02       0.000000000000e+00 
       4.588720195145e-02       0.000000000000e+00 
       4.618452093514e-02       0.000000000000e+00 
       4.648940663820e-02       0.000000000000e+00 
       4.680238088762e-02       0.000000000000e+00 
       4.712401776681e-02       0.000000000000e+00 
       4.745495057629e-02       0.000000000000e+00 
       4.779587995230e-02       0.000000000000e+00 
       4.814758337426e-02       0.000000000000e+00 
       4.851092634458e-02       0.000000000000e+00 
       4.888687559184e-02       0.000000000000e+00 
       4.927651473258e-02       0.000000000000e+00 
       4.968106293447e-02       0.000000000000e+00 
       5.010189726021e-02       0.000000000000e+00 
       5.054057954515e-02       0.000000000000e+00 
       5.099888888358e-02       0.000000000000e+00 
       5.147886108074e-02       0.000000000000e+00 
       5.198283678582e-02       0.000000000000e+00 
       5.251352047148e-02       0.000000000000e+00 
       5.307405298388e-02       0.000000000000e+00 
       5.366810106050e-02       0.000000000000e+00 
       5.429996798728e-02       0.000000000000e+00 
       5.497473037349e-02       0.000000000000e+00 
       5.569840668276e-02       0.000000000000e+00 
       5.647816325725e-02       0.000000000000e+00 
       5.732256224306e-02       0.000000000000e+00 
       5.824185133818e-02       0.000000000000e+00 
       5.924828438165e-02       0.000000000000e+00 
       6.035643873013e-02       0.000000000000e+00 
       6.158345102631e-02       0.000000000000e+00 
       6.294901589463e-02       0.000000000000e+00 
       6.447487648346e-02       0.000000000000e+00 
       6.618340706233e-02       0.000000000000e+00 
       6.809485600515e-02       0.000000000000e+00 
       7.022312647083e-02       0.000000000000e+00 
       7.257088775731e-02       0.000000000000e+00 
       7.512611305435e-02       0.000000000000e+00 
       7.786257006366e-02       0.000000000000e+00 
       8.074496455388e-02       0.000000000000e+00 
       8.373634087383e-02       0.000000000000e+00 
       8.680413515550e-02       0.000000000000e+00 
       8.992300006197e-02       0.000000000000e+00 
       9.307485202122e-02       0.000000000000e+00 
       9.624752865690e-02       0.000000000000e+00 
       9.943315960743e-02       0.000000000000e+00 
