# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04206e-05 to 1.06897 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_nufld[0]              7:d_m                    8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_cdm                 14:t_ur                  15:t_nufld[0]             16:t_tot              
       1.042057226689e-05      -2.116705189981e+00      -1.587529416067e+00      -1.587529416065e+00      -2.116705175004e+00      -2.116671417323e+00      -1.055537228954e-03      -1.587684714221e+00       4.711512774871e-01       4.710059717831e-01       1.165969899087e-07       1.167418843234e-07       1.167418851405e-07       1.165945519472e-07       1.165950657614e-07       1.167418280145e-07 
       1.311872323222e-05      -2.117461208744e+00      -1.588097164116e+00      -1.588097164174e+00      -2.117461173145e+00      -2.117427398467e+00      -1.612980848839e-03      -1.588252517570e+00       4.711537302176e-01       4.710084751737e-01       1.846700863725e-07       1.850246360187e-07       1.850246448489e-07       1.846641782508e-07       1.846649727741e-07       1.850245039243e-07 
       1.651549404734e-05      -2.118742292343e+00      -1.589059947519e+00      -1.589059947627e+00      -2.118742201345e+00      -2.118708387888e+00      -2.616532890053e-03      -1.589215394419e+00       4.711366194572e-01       4.709914570677e-01       2.923253351096e-07       2.932368116335e-07       2.932368290758e-07       2.923103047887e-07       2.923114844477e-07       2.932364675020e-07 
       2.079177514453e-05      -2.120618157294e+00      -1.590471756705e+00      -1.590471757035e+00      -2.120617924591e+00      -2.120584049263e+00      -4.004888929555e-03      -1.590627339958e+00       4.711475437502e-01       4.710025229608e-01       4.624870759934e-07       4.647560455146e-07       4.647560751757e-07       4.624489897249e-07       4.624505398048e-07       4.647551769349e-07 
       2.617529408576e-05      -2.123632003868e+00      -1.592744411994e+00      -1.592744412772e+00      -2.123631418104e+00      -2.123597438160e+00      -6.262299568162e-03      -1.592900213094e+00       4.711531649685e-01       4.710083666880e-01       7.309230589962e-07       7.365961332086e-07       7.365961994472e-07       7.308274246638e-07       7.308286023140e-07       7.365939543387e-07 
       3.295274288575e-05      -2.128462317937e+00      -1.596398164499e+00      -1.596398166583e+00      -2.128460844510e+00      -2.128426691345e+00      -9.939553793265e-03      -1.596554311869e+00       4.711447640492e-01       4.710003233435e-01       1.153123934172e-06       1.167409807081e-06       1.167409985607e-06       1.152883792564e-06       1.152880552551e-06       1.167404329272e-06 
       4.148504540719e-05      -2.136036105355e+00      -1.602156275169e+00      -1.602156280633e+00      -2.136032402050e+00      -2.135997923602e+00      -1.570619198863e-02      -1.602312957944e+00       4.711423465515e-01       4.709984690157e-01       1.814391602488e-06       1.850212166537e-06       1.850212621626e-06       1.813789829319e-06       1.813764373480e-06       1.850198434983e-06 
       5.222657787254e-05      -2.147962827612e+00      -1.611296249946e+00      -1.611296263859e+00      -2.147953544784e+00      -2.147918364055e+00      -2.487015130390e-02      -1.611453756941e+00       4.711338040790e-01       4.709908158640e-01       2.842625795931e-06       2.932349974486e-06       2.932351117185e-06       2.841122708400e-06       2.841001713052e-06       2.932315573255e-06 
       6.574936605479e-05      -2.166630373379e+00      -1.625785399664e+00      -1.625785435040e+00      -2.166607149942e+00      -2.166570107866e+00      -3.940508321644e-02      -1.625944149122e+00       4.711189789192e-01       4.709773954746e-01       4.422956406412e-06       4.647341404624e-06       4.647344288067e-06       4.419215573135e-06       4.418704842164e-06       4.647255364314e-06 
       8.277354773573e-05      -2.195606886671e+00      -1.648736600671e+00      -1.648736690130e+00      -2.195549018181e+00      -2.195506053777e+00      -6.241526177679e-02      -1.648897159142e+00       4.710993564280e-01       4.709599759200e-01       6.806294185781e-06       7.365300463311e-06       7.365307682094e-06       6.797045989286e-06       6.794981289214e-06       7.365086027265e-06 
