# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.371152528527e-10       4.140825881478e-15       3.517921670538e-13       0.000000000000e+00       8.190619263689e-09       4.464145700981e-10      -1.837274094742e-12 
    3       1.298445410228e-10       5.310156768468e-15       3.953976423685e-13       0.000000000000e+00       5.026662627857e-09       3.161459525275e-10      -1.392499882980e-12 
    4       1.229491810641e-10       4.595534053953e-15       3.698584639048e-13       0.000000000000e+00       3.489972755003e-09       2.391154122733e-10      -9.125330532737e-13 
    5       1.178091923895e-10       3.066783505130e-15       3.149469227825e-13       0.000000000000e+00       2.602404069254e-09       1.886090095598e-10      -5.082183840267e-13 
    6       1.142720501978e-10       1.714373906541e-15       2.534902362646e-13       0.000000000000e+00       2.031116599091e-09       1.532296149564e-10      -2.102539133869e-13 
    7       1.119931158792e-10       9.244832641473e-16       1.988263163228e-13       0.000000000000e+00       1.637465206408e-09       1.273535579568e-10      -2.017331662169e-14 
    8       1.107001871435e-10       5.940179944726e-16       1.568168173680e-13       0.000000000000e+00       1.352421914704e-09       1.077918058402e-10       7.688998356348e-14 
    9       1.100824349925e-10       4.753089793141e-16       1.287916031504e-13       0.000000000000e+00       1.137993703201e-09       9.259362649346e-11       1.042040531995e-13 
   10       1.099920530515e-10       4.048816790926e-16       1.133782769668e-13       0.000000000000e+00       9.718545103663e-10       8.053895200071e-11       8.752738190987e-14 
   11       1.103207442824e-10       3.409162987244e-16       1.078478002599e-13       0.000000000000e+00       8.189263163575e-10       7.120909448266e-11       5.088798340124e-14 
   12       1.109589193866e-10       2.980762831023e-16       1.091639273226e-13       0.000000000000e+00       7.151012284927e-10       6.298940018860e-11       1.164520802773e-14 
   13       1.118287194006e-10       2.868395284416e-16       1.145959181217e-13       0.000000000000e+00       6.299045131249e-10       5.623213784389e-11      -1.827255101720e-14 
   14       1.128921776999e-10       2.994018668751e-16       1.221621188669e-13       0.000000000000e+00       5.590638435789e-10       5.053296102919e-11      -3.422293564037e-14 
   15       1.141373218097e-10       3.243768759867e-16       1.305342398698e-13       0.000000000000e+00       4.994670089290e-10       4.552345573419e-11      -3.704857695893e-14 
   16       1.154900768887e-10       3.596018086043e-16       1.389853502195e-13       0.000000000000e+00       4.488188545158e-10       4.129091387989e-11      -3.037447450059e-14 
   17       1.169621895999e-10       4.105797961333e-16       1.474684151745e-13       0.000000000000e+00       4.053919145219e-10       3.766274035537e-11      -1.937462847168e-14 
   18       1.185343133698e-10       4.825978231684e-16       1.560852456467e-13       0.000000000000e+00       3.677175479678e-10       3.446608266791e-11      -8.914276832934e-15 
   19       1.202058975635e-10       5.759545125197e-16       1.650609570105e-13       0.000000000000e+00       3.351936475750e-10       3.165709419100e-11      -1.582467607391e-15 
   20       1.219345669233e-10       6.886439269496e-16       1.746245683755e-13       0.000000000000e+00       3.065619919034e-10       2.915493314215e-11       9.038784353365e-16 
   21       1.237326337513e-10       8.199295127649e-16       1.846890543416e-13       0.000000000000e+00       2.813678869733e-10       2.694928904937e-11      -8.807279348931e-16 
   22       1.255983793783e-10       9.692487601059e-16       1.949942543610e-13       0.000000000000e+00       2.590044940631e-10       2.501113134365e-11      -5.169037823795e-15 
   23       1.275291657068e-10       1.137046746931e-15       2.052489033807e-13       0.000000000000e+00       2.391694429474e-10       2.328661578369e-11      -1.017645606870e-14 
   24       1.295011635583e-10       1.323904991055e-15       2.151020778403e-13       0.000000000000e+00       2.214056014323e-10       2.169826972552e-11      -1.400621459182e-14 
   25       1.315142367142e-10       1.529995172242e-15       2.242351132823e-13       0.000000000000e+00       2.054697845474e-10       2.025326943332e-11      -1.585955419406e-14 
   26       1.335624760859e-10       1.755507710546e-15       2.323546109705e-13       0.000000000000e+00       1.910483142576e-10       1.896925395984e-11      -1.544172424560e-14 
   27       1.356550343177e-10       2.002013064764e-15       2.394017542827e-13       0.000000000000e+00       1.780652659674e-10       1.783116087599e-11      -1.329541629509e-14 
   28       1.377894270018e-10       2.271735337643e-15       2.454196232754e-13       0.000000000000e+00       1.663620870270e-10       1.679373244261e-11      -1.046115115053e-14 
   29       1.399493964382e-10       2.566937514322e-15       2.504772997052e-13       0.000000000000e+00       1.556530270369e-10       1.580197811931e-11      -8.092176609313e-15 
   30       1.421411059216e-10       2.888798995046e-15       2.545952800614e-13       0.000000000000e+00       1.458781096734e-10       1.486364585177e-11      -6.561902365052e-15 
