# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.371157096066e-10       4.141047679203e-15       3.517921633089e-13       2.217976713989e-19       8.190619263689e-09       4.464145700981e-10      -1.837274094742e-12 
    3       1.298454522653e-10       5.310600450819e-15       3.953976256666e-13       4.436818234592e-19       5.026662627857e-09       3.161459525275e-10      -1.392499882980e-12 
    4       1.229506948304e-10       4.596273716941e-15       3.698584158652e-13       7.396603978650e-19       3.489972755003e-09       2.391154122733e-10      -9.125330532737e-13 
    5       1.178114538666e-10       3.067893358601e-15       3.149468132069e-13       1.109844598765e-18       2.602404069254e-09       1.886090095598e-10      -5.082183840267e-13 
    6       1.142752011555e-10       1.715928300715e-15       2.534900204860e-13       1.554369980857e-18       2.031116599091e-09       1.532296149564e-10      -2.102539133869e-13 
    7       1.119972941889e-10       9.265567147072e-16       1.988259327431e-13       2.073394278966e-18       1.637465206408e-09       1.273535579568e-10      -2.017331662169e-14 
    8       1.107055263952e-10       5.966852057330e-16       1.568161852134e-13       2.667094928306e-18       1.352421914704e-09       1.077918058402e-10       7.688998356348e-14 
    9       1.100890642166e-10       4.786448649590e-16       1.287906204704e-13       3.335666337125e-18       1.137993703201e-09       9.259362649346e-11       1.042040531995e-13 
   10       1.100000965488e-10       4.089613799123e-16       1.133768188943e-13       4.079316978731e-18       9.718545103663e-10       8.053895200071e-11       8.752738190987e-14 
   11       1.103303215619e-10       3.458151967451e-16       1.078457175485e-13       4.898266373194e-18       8.189263163575e-10       7.120909448266e-11       5.088798340124e-14 
   12       1.109701452064e-10       3.038700114882e-16       1.091610451682e-13       5.792742030222e-18       7.151012284927e-10       6.298940018860e-11       1.164520802773e-14 
   13       1.118417039046e-10       2.936039765620e-16       1.145920352735e-13       6.762976423834e-18       6.299045131249e-10       5.623213784389e-11      -1.827255101720e-14 
   14       1.129070266394e-10       3.072131799713e-16       1.221570070261e-13       7.809204066511e-18       5.590638435789e-10       5.053296102919e-11      -3.422293564037e-14 
   15       1.141541368360e-10       3.333114489497e-16       1.305276433711e-13       8.931658745637e-18       4.994670089290e-10       4.552345573419e-11      -3.704857695893e-14 
   16       1.155089559019e-10       3.697362734799e-16       1.389769859880e-13       1.013057097843e-17       4.488188545158e-10       4.129091387989e-11      -3.037447450059e-14 
   17       1.169832271358e-10       4.219910031105e-16       1.474579729437e-13       1.140616573340e-17       4.053919145219e-10       3.766274035537e-11      -1.937462847168e-14 
   18       1.185576010158e-10       4.953628151913e-16       1.560723884293e-13       1.275866035075e-17       3.677175479678e-10       3.446608266791e-11      -8.914276832934e-15 
   19       1.202315243362e-10       5.901504922737e-16       1.650453217866e-13       1.418826343373e-17       3.351936475750e-10       3.165709419100e-11      -1.582467607391e-15 
   20       1.219626197210e-10       7.043482199425e-16       1.746057670335e-13       1.569517237779e-17       3.065619919034e-10       2.915493314215e-11       9.038784353365e-16 
   21       1.237631976563e-10       8.372195221400e-16       1.846666747663e-13       1.727957409821e-17       2.813678869733e-10       2.694928904937e-11      -8.807279348931e-16 
   22       1.256315380417e-10       9.882019179345e-16       1.949678617814e-13       1.894164247770e-17       2.590044940631e-10       2.501113134365e-11      -5.169037823795e-15 
   23       1.275650015312e-10       1.157740461385e-15       2.052180417936e-13       2.068154066207e-17       2.391694429474e-10       2.328661578369e-11      -1.017645606870e-14 
   24       1.295397579786e-10       1.346416589010e-15       2.150662717159e-13       2.249941807099e-17       2.214056014323e-10       2.169826972552e-11      -1.400621459182e-14 
   25       1.315556702685e-10       1.554401840564e-15       2.241938693250e-13       2.439541326934e-17       2.054697845474e-10       2.025326943332e-11      -1.585955419406e-14 
