# Matter power spectrum P(k) at redshift z=0
# for k=1.04588e-05 to 1.08705 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045881941251e-05       4.770160154454e+01 
       2.330924113169e-05       1.034566255068e+02 
       3.620472976707e-05       1.583054376399e+02 
       4.917981733626e-05       2.128095222906e+02 
       6.226960512141e-05       2.672927674746e+02 
       7.551007518132e-05       3.220004598470e+02 
       8.893841178972e-05       3.771439914748e+02 
       1.025933370557e-04       4.329192288249e+02 
       1.165154650151e-04       4.895159926036e+02 
       1.307476785157e-04       5.471238186628e+02 
       1.453355332239e-04       6.059360052448e+02 
       1.603276930275e-04       6.661527823834e+02 
       1.757764009306e-04       7.279840417101e+02 
       1.917379891860e-04       7.916518483280e+02 
       2.082734317629e-04       8.573928633450e+02 
       2.254489412087e-04       9.254607475249e+02 
       2.433366103392e-04       9.961285819149e+02 
       2.620150967933e-04       1.069691321528e+03 
       2.815703450294e-04       1.146468255672e+03 
       3.020963355224e-04       1.226805444105e+03 
       3.236958443531e-04       1.311078050972e+03 
       3.464811876832e-04       1.399692462365e+03 
       3.705749144072e-04       1.493088036610e+03 
       3.961103963024e-04       1.591738271133e+03 
       4.232322482759e-04       1.696151113565e+03 
       4.520964923216e-04       1.806868069947e+03 
       4.828703588271e-04       1.924461703161e+03 
       5.157316003481e-04       2.049531049343e+03 
       5.508671798277e-04       2.182694459510e+03 
       5.884711931304e-04       2.324579389954e+03 
       6.287419018471e-04       2.475808755651e+03 
       6.718777943943e-04       2.636983707733e+03 
       7.180726679276e-04       2.808662923739e+03 
       7.675098326465e-04       2.991339094310e+03 
       8.203556777635e-04       3.185413691012e+03 
       8.767529877616e-04       3.391171778318e+03 
       9.368145300514e-04       3.608758981958e+03 
       1.000617514947e-03       3.838163125303e+03 
       1.068199522502e-03       4.079202662661e+03 
       1.139556379724e-03       4.331523830470e+03 
       1.214642263612e-03       4.594607094614e+03 
       1.293372036497e-03       4.867782822448e+03 
       1.375625546752e-03       5.150234761100e+03 
       1.461253408596e-03       5.441065846568e+03 
       1.550083651307e-03       5.739332293382e+03 
       1.641928613908e-03       6.044035088408e+03 
       1.736591540875e-03       6.354167330804e+03 
       1.833872473500e-03       6.668738780712e+03 
       1.933573191433e-03       6.986795722914e+03 
       2.035501107284e-03       7.307435835509e+03 
       2.139472134317e-03       7.629818675427e+03 
       2.245312626023e-03       7.953171417695e+03 
       2.352860529154e-03       8.276792020201e+03 
       2.461965905902e-03       8.600048081668e+03 
       2.572490975481e-03       8.922375365391e+03 
       2.684309808464e-03       9.243273854295e+03 
       2.797307785256e-03       9.562303370504e+03 
       2.911380907304e-03       9.879078662917e+03 
       3.026435028653e-03       1.019326378898e+04 
       3.142385057350e-03       1.050456796426e+04 
       3.259154161547e-03       1.081274045287e+04 
       3.376673003591e-03       1.111756837464e+04 
       3.494879016711e-03       1.141886438657e+04 
       3.613715732517e-03       1.171647540452e+04 
       3.733132162977e-03       1.201027131279e+04 
       3.853082237450e-03       1.230014580460e+04 
       3.973524293263e-03       1.258600906269e+04 
       4.094420617062e-03       1.286779150530e+04 
       4.215737033430e-03       1.314543182040e+04 
       4.337442536930e-03       1.341888770159e+04 
       4.459508963635e-03       1.368812763509e+04 
       4.581910698319e-03       1.395312781481e+04 
       4.704624413644e-03       1.421387131399e+04 
       4.827628837964e-03       1.447034309634e+04 
       4.950904548601e-03       1.472254760152e+04 
       5.074433787798e-03       1.497050394796e+04 
       5.198200298764e-03       1.521420750268e+04 
       5.322189179552e-03       1.545367496724e+04 
       5.446386752730e-03       1.568891843596e+04 
       5.570780449033e-03       1.591996042905e+04 
       5.695358703405e-03       1.614682064446e+04 
       5.820110862010e-03       1.636952572984e+04 
       5.945027098973e-03       1.658810239775e+04 
       6.070098341735e-03       1.680258014556e+04 
       6.195316204065e-03       1.701299181573e+04 
       6.320672925865e-03       1.721937196536e+04 
       6.446161319014e-03       1.742175225901e+04 
       6.571774718589e-03       1.762015981588e+04 
       6.697506938873e-03       1.781464650195e+04 
       6.823352233626e-03       1.800524219688e+04 
       6.949305260174e-03       1.819198933059e+04 
       7.075361046901e-03       1.837492696645e+04 
