# Matter power spectrum P(k) at redshift z=0
# for k=1.04588e-05 to 1.08705 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045881941251e-05       4.770024377673e+01 
       2.330924113169e-05       1.034537052852e+02 
       3.620472976707e-05       1.583010356433e+02 
       4.917981733626e-05       2.128037335664e+02 
       6.226960512141e-05       2.672857098173e+02 
       7.551007518132e-05       3.219922785897e+02 
       8.893841178972e-05       3.771348639887e+02 
       1.025933370557e-04       4.329093695836e+02 
       1.165154650151e-04       4.895056592173e+02 
       1.307476785157e-04       5.471133191983e+02 
       1.453355332239e-04       6.059257071432e+02 
       1.603276930275e-04       6.661431233417e+02 
       1.757764009306e-04       7.279755429642e+02 
       1.917379891860e-04       7.916451308762e+02 
       2.082734317629e-04       8.573886677789e+02 
       2.254489412087e-04       9.254599582964e+02 
       2.433366103392e-04       9.961322570649e+02 
       2.620150967933e-04       1.069700729150e+03 
       2.815703450294e-04       1.146484918687e+03 
       3.020963355224e-04       1.226831195286e+03 
       3.236958443531e-04       1.311115100598e+03 
       3.464811876832e-04       1.399743481410e+03 
       3.705749144072e-04       1.493156258962e+03 
       3.961103963024e-04       1.591827619022e+03 
       4.232322482759e-04       1.696266351092e+03 
       4.520964923216e-04       1.807014990330e+03 
       4.828703588271e-04       1.924647355937e+03 
       5.157316003481e-04       2.049764014161e+03 
       5.508671798277e-04       2.182985173093e+03 
       5.884711931304e-04       2.324940532089e+03 
       6.287419018471e-04       2.476255698199e+03 
       6.718777943943e-04       2.637535027506e+03 
       7.180726679276e-04       2.809340974935e+03 
       7.675098326465e-04       2.992170629402e+03 
       8.203556777635e-04       3.186430510073e+03 
       8.767529877616e-04       3.392411376837e+03 
       9.368145300514e-04       3.610265157126e+03 
       1.000617514947e-03       3.839986492588e+03 
       1.068199522502e-03       4.081401029866e+03 
       1.139556379724e-03       4.334162378167e+03 
       1.214642263612e-03       4.597758319910e+03 
