# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       8.913747564532e+20       4.135016837831e-15       7.731864505892e-12       0.000000000000e+00      1.701997994655e+183      -3.774176184551e+22      -1.239042278030e-10 
    3       2.764166836153e+21       5.303551283370e-15       1.530477536681e-11       0.000000000000e+00      3.895354866544e+183      -8.906942471874e+22      -1.733836020077e-10 
    4       1.363714180991e+22       4.591460295192e-15       2.464589584663e-11       0.000000000000e+00      3.338054834719e+183      -4.856253174458e+23      -1.167867120447e-09 
    5       5.671905778629e+21       3.065524552552e-15      -8.757237461554e-11       0.000000000000e+00      1.394437078373e+184      -1.634075778312e+23       4.800844113667e-09 
    6       5.471673284545e+21       1.714294914564e-15       2.873288856271e-10       0.000000000000e+00      1.332254478475e+183      -2.446466894428e+23      -1.245290931714e-08 
    7       8.287025371897e+22       9.240531518186e-16       3.417140107379e-10       0.000000000000e+00      3.184063539812e+184      -2.549976003885e+24      -1.251281126843e-08 
    8       2.008969884829e+23       5.928183053822e-16       5.120195183414e-10       0.000000000000e+00      2.259374189107e+183      -5.175690650100e+24      -1.912178715795e-08 
    9       2.157724933109e+23       4.737159679471e-16       1.614137282866e-11       0.000000000000e+00      4.051999064962e+184      -5.221316460518e+24      -2.945208805665e-09 
   10       7.034120541982e+22       4.033251957587e-16       4.695619568255e-10       0.000000000000e+00      3.611057316469e+184      -1.941539767841e+24      -2.360744371175e-09 
   11       2.232706902967e+21       3.394890258214e-16       5.585673804424e-12       0.000000000000e+00      3.529410711275e+184      -1.046550872638e+23       2.378230443160e-10 
   12       1.093275631458e+21       2.966374518201e-16      -6.270379301775e-10       0.000000000000e+00      3.251673402410e+184       6.689044122266e+22       2.764983189010e-08 
   13       6.177573927565e+21       2.852924576138e-16      -7.524922391570e-10       0.000000000000e+00      3.014191491932e+184      -1.705200942419e+23       1.168202385603e-08 
   14       3.549679995065e+22       2.978195054968e-16      -2.639688879408e-09       0.000000000000e+00      2.808706956549e+184      -4.323165234605e+23       4.006770987624e-08 
   15       3.124201323366e+22       3.229117327599e-16       1.000796846370e-10       0.000000000000e+00      2.629072141072e+184      -4.086210788577e+23      -1.553456810030e-08 
   16       4.964472799443e+21       3.583344199880e-16       4.012282454475e-09       0.000000000000e+00      2.470617193740e+184       7.884514466517e+22       4.909500259904e-08 
   17       6.480151104835e+22       4.094659122600e-16      -6.351363546087e-09       0.000000000000e+00      2.329731831218e+184       5.616697501090e+23      -4.228234565747e-08 
   18       3.850947845826e+22       4.815264210864e-16      -6.573621903542e-09       0.000000000000e+00      2.203393100106e+184       5.850154307291e+23      -1.089391844797e-07 
   19       1.316100528267e+22       5.748501735286e-16      -1.999906855981e-09       0.000000000000e+00      2.089909241413e+184       9.793794595649e+22      -7.994838396406e-08 
   20       1.597225686555e+23       6.875040679661e-16      -1.129884829316e-08       0.000000000000e+00      1.986736107178e+184      -7.116132636445e+23       7.665465821331e-09 
   21       2.944094584933e+23       8.187758392855e-16      -3.025560468822e-08       0.000000000000e+00      1.893063245592e+184      -1.227178905835e+24       9.912413175481e-08 
   22       1.719448106160e+23       9.681031463321e-16      -4.571391304832e-08       0.000000000000e+00      1.807090151528e+184      -7.645871450379e+23       1.391384476401e-07 
   23       6.819152309575e+22       1.135884659148e-15      -4.932047827454e-08       0.000000000000e+00      1.728260473392e+184       3.908495603176e+23       1.534424290592e-07 
   24       3.667576591378e+23       1.322640924065e-15      -3.615014604032e-08       0.000000000000e+00      1.655407888112e+184       1.530172293757e+24       1.870319823471e-07 
   25       8.279188193270e+23       1.528529247722e-15      -1.410650520879e-08       0.000000000000e+00      1.587986573432e+184       1.978999118226e+24       2.088078495156e-07 
   26       1.035470604664e+24       1.753745695334e-15       4.429312850668e-09       0.000000000000e+00      1.525066058587e+184       1.190570431908e+24       1.672955914288e-07 
   27       9.865693886184e+23       1.999880620180e-15       1.465174015399e-08       0.000000000000e+00      1.466639604041e+184      -4.284106034200e+23       6.409707645189e-08 
   28       8.402658261683e+23       2.269189941148e-15       1.380499622215e-08       0.000000000000e+00      1.412308515297e+184      -1.996188185973e+24      -7.711239360766e-08 
   29       7.716159960175e+23       2.563972310382e-15       2.023781172231e-09       0.000000000000e+00      1.361104999096e+184      -2.644017953356e+24      -2.227733049240e-07 
   30       8.262954039537e+23       2.885420381630e-15      -6.354030807248e-09       0.000000000000e+00      1.312976674626e+184      -2.556545231602e+24      -3.270053739494e-07 
   31       1.009774369157e+24       3.234308236067e-15       1.091436764585e-08       0.000000000000e+00      1.267763636315e+184      -2.354070092589e+24      -3.315802666155e-07 
   32       1.305039690126e+24       3.611329933264e-15       6.894663073924e-08       0.000000000000e+00      1.224973847852e+184      -2.614459810065e+24      -1.868556166215e-07 
   33       1.606560771289e+24       4.017308590453e-15       1.317520356063e-07       0.000000000000e+00      1.184540115449e+184      -3.073482341425e+24       7.391316958684e-08 
   34       1.758728332572e+24       4.453050156873e-15       1.389770138172e-07       0.000000000000e+00      1.146267985360e+184      -3.123639943203e+24       3.801142791141e-07 
