# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       8.512018852684e-06       4.138567436436e-15       2.758664725517e-11       2.218226778413e-19       8.376256425800e-09      -3.834557265521e-08      -1.941997370002e-12 
    3       4.200093263256e-06       5.309096901176e-15       8.467797940278e-12       4.437318852666e-19       5.059691475841e-09      -1.117503816785e-08      -1.412888722750e-12 
    4       8.169839608694e-07       4.597196615972e-15       5.346636522872e-13       7.397439407195e-19       3.492597885214e-09      -2.763633053818e-09      -9.151768200885e-13 
    5       1.246361969731e-07       3.070242056062e-15       8.584292943364e-14       1.109970107548e-18       2.599938131505e-09      -1.001310324560e-09      -5.096537039661e-13 
    6       2.898939864568e-08       1.717767080336e-15      -1.706630675393e-13       1.554546009530e-18       2.028777645034e-09       3.117102752927e-10      -2.110632003729e-13 
    7       1.884078879040e-07       9.267271449568e-16      -1.495084886689e-12       2.073629457563e-18       1.637263027974e-09       1.238591901679e-09      -2.131809597042e-14 
    8       1.901793922699e-07       5.953482834417e-16      -1.792039635204e-12       2.667397966812e-18       1.354211834885e-09       1.535782326186e-09       7.442724198472e-14 
    9       5.913731615897e-08       4.766645144081e-16      -9.953941095358e-13       3.336046026196e-18       1.140567312683e-09       1.108362381760e-09       1.007638224785e-13 
   10       1.818658669396e-08       4.070650761108e-16       1.569764585707e-13       4.079782187375e-18       9.740727394592e-10       2.724532626287e-10       8.412709667277e-14 
   11       7.323531623666e-08       3.442161520243e-16       1.377278352999e-12       4.898826043704e-18       8.221963396888e-10      -5.463300253417e-10       4.348306986908e-14 
   12       1.149390037136e-07       3.024211095789e-16       1.575012975616e-12       5.793405170816e-18       7.151565551317e-10      -3.695902001762e-10       1.238626508550e-14 
   13       7.521249826221e-08       2.921385577195e-16       6.282061085983e-13       6.763752099586e-18       6.300126789287e-10      -2.683292741321e-10      -1.793210513685e-14 
   14       2.756987069316e-08       3.057367057883e-16       2.734000790599e-13       7.810101389269e-18       5.591682500995e-10      -1.419758291034e-11      -3.381851531541e-14 
   15       3.655404838012e-08       3.319578685538e-16       5.899650301606e-13       8.932686863712e-18       4.995764397711e-10       2.120171964216e-10      -3.670733340411e-14 
   16       5.078043717809e-08       3.686241119997e-16       2.460005685403e-13       1.013173906688e-17       4.489295636409e-10       3.410140461246e-10      -3.009117528164e-14 
   17       3.391557003661e-08       4.211335190187e-16      -5.245460216968e-13       1.140748298570e-17       4.055082029279e-10       3.345029359406e-10      -1.922274521465e-14 
   18       1.272625419487e-08       4.946734204800e-16      -5.210309562457e-13       1.276013597225e-17       3.677990353397e-10       1.985316417544e-10      -8.487307779558e-15 
   19       1.665005117455e-09       5.895240012540e-16       1.536102966459e-13       1.418990664019e-17       3.353505973074e-10       1.450724610956e-11      -2.140389310230e-15 
   20       5.069058932661e-09       7.036950479954e-16       8.481351244272e-13       1.569699239263e-17       3.070864372921e-10      -1.057561579351e-10      -3.709268150290e-15 
   21       1.388940052498e-08       8.364756782946e-16       1.242629566761e-12       1.728158015981e-17       2.821844565319e-10      -1.141511412898e-10      -8.601915798078e-15 
   22       1.501881656157e-08       9.873363632451e-16       1.171969125204e-12       1.894384384487e-17       2.595625352491e-10      -7.524062220580e-12      -9.938098093353e-15 
   23       1.009074300831e-08       1.156733769663e-15       8.364693198029e-13       2.068394662961e-17       2.392551790319e-10       9.885077431062e-11      -9.751240659836e-15 
   24       5.569715754166e-09       1.345255490951e-15       5.601602099857e-13       2.250203798340e-17       2.213671677071e-10       6.986475558263e-11      -1.240833350443e-14 
   25       2.814552591755e-09       1.553078454682e-15       4.034843945603e-13       2.439825654349e-17       2.055549571472e-10      -2.132855194912e-11      -1.587644144573e-14 
   26       1.514557529685e-09       1.780397151778e-15       3.397552668930e-13       2.637272807316e-17       1.912024105025e-10      -4.277303471723e-11      -1.634584821496e-14 
   27       1.254917069846e-09       2.028778336033e-15       3.451286626636e-13       2.842557248556e-17       1.781979185078e-10       2.057482793866e-12      -1.396861669329e-14 
   28       1.438979191109e-09       2.300438565858e-15       3.881913485292e-13       3.055689710079e-17       1.664406829644e-10       5.642812942917e-11      -1.049820096511e-14 
   29       1.427587827765e-09       2.597632718510e-15       4.309294528372e-13       3.276679684448e-17       1.557058141454e-10       6.309849326736e-11      -7.839694991848e-15 
   30       1.173230333317e-09       2.921537446667e-15       4.490992258427e-13       3.505536630080e-17       1.459352793779e-10       2.988997217199e-11      -6.391755959201e-15 
   31       8.347320620049e-10       3.272918773927e-15       4.190389275436e-13       3.742269123607e-17       1.370361233017e-10      -9.483985796367e-12      -6.058436085517e-15 
   32       5.764872441758e-10       3.652467634545e-15       3.240046939234e-13       3.986884792645e-17       1.288462682590e-10      -2.157505339896e-11      -6.641406271982e-15 
   33       4.166676326457e-10       4.061026947942e-15       1.957419738670e-13       4.239391369131e-17       1.213199591710e-10      -9.191296455849e-12      -7.763122330303e-15 
   34       3.237704155918e-10       4.499434797067e-15       8.926726008545e-14       4.499795964270e-17       1.143963082675e-10       1.127000677466e-11      -8.899399067774e-15 
   35       2.639890458552e-10       4.968503719668e-15       5.557675902535e-14       4.768105032869e-17       1.079781015890e-10       2.320412536351e-11      -9.527246080407e-15 
   36       2.315762454795e-10       5.469173946661e-15       8.133737925447e-14       5.044325288064e-17       1.020490427406e-10       2.488933724292e-11      -9.601659977012e-15 
   37       2.284133924626e-10       6.002407784389e-15       1.281314544762e-13       5.328463086528e-17       9.658908973611e-11       1.949654908899e-11      -9.241291390974e-15 
   38       2.559013449008e-10       6.569146789788e-15       1.475518752768e-13       5.620524184724e-17       9.153877010908e-11       1.118298805488e-11      -8.606021924798e-15 
   39       3.195459468968e-10       7.170260645421e-15       9.280489677157e-14       5.920513851661e-17       8.682039079528e-11       4.166854703180e-12      -7.873399939586e-15 
   40       4.447231649102e-10       7.806377071349e-15      -4.004621869921e-14       6.228437256274e-17       8.241919234880e-11      -6.012564541013e-13      -7.150913567917e-15 
   41       6.662018256247e-10       8.477990984021e-15      -2.404146892340e-13       6.544299210198e-17       7.832379340198e-11      -3.125731868788e-12      -6.538875606070e-15 
   42       1.024267093066e-09       9.185503416282e-15      -4.940229952325e-13       6.868104072693e-17       7.450202779013e-11      -3.472243633431e-12      -6.155425064744e-15 
   43       1.544925573040e-09       9.929293034788e-15      -7.791371714400e-13       7.199855605635e-17       7.091287497629e-11      -1.846662724318e-12      -6.106071422779e-15 
   44       2.172434097361e-09       1.070997050319e-14      -1.054463881159e-12       7.539556466529e-17       6.755083583616e-11       1.150604243556e-12      -6.378602126657e-15 
   45       2.816238928904e-09       1.152819406437e-14      -1.267054584055e-12       7.887208570190e-17       6.441244825404e-11       4.691247785522e-12      -6.917098343788e-15 
   46       3.368297858652e-09       1.238459870870e-14      -1.355030523189e-12       8.242813225559e-17       6.148295816970e-11       7.776713104303e-12      -7.649585459392e-15 
   47       3.702109383081e-09       1.327979549832e-14      -1.247108806277e-12       8.606371133621e-17       5.873543958028e-11       9.228549427919e-12      -8.487046209118e-15 
   48       3.709049224512e-09       1.421430461597e-14      -8.897982967554e-13       8.977882130193e-17       5.613902775435e-11       8.046595795976e-12      -9.335742191047e-15 
   49       3.421757318349e-09       1.518833377085e-14      -3.391583943904e-13       9.357344333418e-17       5.368841660769e-11       4.625451892178e-12      -1.014058826291e-14 
   50       2.923864124468e-09       1.620193616715e-14       3.059083142443e-13       9.744754752385e-17       5.138116434102e-11      -1.356654767721e-13      -1.085230930742e-14 
   51       2.316629670972e-09       1.725506736862e-14       9.281528280914e-13       1.014010950656e-16       4.920890137594e-11      -5.161927646844e-12      -1.141489906609e-14 
   52       1.719876167448e-09       1.834758124139e-14       1.391041925361e-12       1.054340381069e-16       4.715691531655e-11      -9.193777593035e-12      -1.176531227085e-14 
   53       1.245255001882e-09       1.947932524157e-14       1.574227713151e-12       1.095463203589e-16       4.520874463768e-11      -1.109993842579e-11      -1.185377216039e-14 
   54       9.058306207170e-10       2.065046438272e-14       1.492822788704e-12       1.137378794612e-16       4.336230189421e-11      -1.093191717060e-11      -1.171153227863e-14 
   55       6.848722010579e-10       2.186123350334e-14       1.207161371580e-12       1.180086449619e-16       4.161717312737e-11      -9.124770339668e-12      -1.140000256802e-14 
   56       5.612619245041e-10       2.311184532001e-14       7.896520546884e-13       1.223585374931e-16       3.996977162613e-11      -6.203004723802e-12      -1.099220315231e-14 
   57       5.092676064916e-10       2.440249053564e-14       3.253665119125e-13       1.267874686512e-16       3.841313289836e-11      -2.784967178112e-12      -1.057332084478e-14 
   58       4.983153256359e-10       2.573333794779e-14      -8.737179426885e-14       1.312953408785e-16       3.693670964205e-11       4.127655923359e-13      -1.024126565661e-14 
   59       4.990825516497e-10       2.710440400826e-14      -3.606641404159e-13       1.358820547281e-16       3.552928170945e-11       2.736599368833e-12      -1.008167923227e-14 
   60       5.039463039247e-10       2.851512588215e-14      -4.958239430648e-13       1.405475328999e-16       3.418894080114e-11       4.133248049359e-12      -1.008491884834e-14 
   61       5.108902581778e-10       2.996468925558e-14      -5.218781978513e-13       1.452917015860e-16       3.291506627683e-11       4.729654468559e-12      -1.021074391485e-14 
   62       5.175889270763e-10       3.145214593785e-14      -4.731400601538e-13       1.501144837062e-16       3.170531663284e-11       4.679558702285e-12      -1.041186574912e-14 
   63       5.213945437687e-10       3.297640954431e-14      -3.894426878171e-13       1.550157990389e-16       3.055553006636e-11       4.164721913174e-12      -1.063363804768e-14 
   64       5.193239454170e-10       3.453625117934e-14      -3.163730838770e-13       1.599955643526e-16       2.945962503956e-11       3.396150196235e-12      -1.081374735817e-14 
   65       5.089087761380e-10       3.613045620316e-14      -2.948921156309e-13       1.650537060463e-16       2.841126147309e-11       2.577238676661e-12      -1.089664867837e-14 
   66       4.909848381600e-10       3.775834281812e-14      -3.271142528877e-13       1.701902008862e-16       2.740945658402e-11       1.781382635721e-12      -1.088112087885e-14 
   67       4.674717755187e-10       3.941934591733e-14      -4.036771724239e-13       1.754050441564e-16       2.645398414862e-11       1.050557690510e-12      -1.078225914391e-14 
   68       4.405727068813e-10       4.111286587707e-14      -5.136542203181e-13       1.806982383834e-16       2.554366956967e-11       4.312681088222e-13      -1.061771953739e-14 
   69       4.127852578734e-10       4.283826874551e-14      -6.444913645036e-13       1.860697938177e-16       2.467633968896e-11      -2.529451303294e-14      -1.040782192575e-14 
   70       3.869125934045e-10       4.459488643146e-14      -7.819441473201e-13       1.915197289143e-16       2.384877259987e-11      -2.630925724179e-13      -1.017565290109e-14 
   71       3.660744499946e-10       4.638201689318e-14      -9.100146380658e-13       1.970480708145e-16       2.305664745989e-11      -2.210837825544e-13      -9.947168704137e-15 
