# Matter power spectrum P(k) at redshift z=0
# for k=1.04595e-05 to 1.0871 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045945127612e-05       4.769592088764e+01 
       2.331030718023e-05       1.034427946245e+02 
       3.620623530250e-05       1.582835189521e+02 
       4.918177117858e-05       2.127794467485e+02 
       6.227201971131e-05       2.672543716714e+02 
       7.551296673595e-05       3.219534921149e+02 
       8.894180051391e-05       3.770881137227e+02 
       1.025972474121e-04       4.328540120376e+02 
       1.165199260580e-04       4.894409079886e+02 
       1.307527242929e-04       5.470382264923e+02 
       1.453412032548e-04       6.058391422339e+02 
       1.603340328627e-04       6.660437427679e+02 
       1.757834628033e-04       7.278617551239e+02 
       1.917458327621e-04       7.915150535211e+02 
       2.082821250011e-04       8.572400762910e+02 
       2.254585613378e-04       9.252902209707e+02 
       2.433472449629e-04       9.959382554198e+02 
       2.620268451269e-04       1.069478765773e+03 
       2.815833192738e-04       1.146230599956e+03 
       3.021106623714e-04       1.226539291551e+03 
       3.237116666235e-04       1.310779372194e+03 
       3.464986660462e-04       1.399356470699e+03 
       3.705942291804e-04       1.492709039225e+03 
       3.961317492422e-04       1.591309484846e+03 
       4.232558642807e-04       1.695664452602e+03 
       4.521226209217e-04       1.806313890659e+03 
       4.828992752975e-04       1.923828512476e+03 
       5.157636062402e-04       2.048805167326e+03 
       5.509026026750e-04       2.181859647360e+03 
       5.885103850585e-04       2.323616444850e+03 
       6.287852368154e-04       2.474695106282e+03 
       6.719256638313e-04       2.635693007495e+03 
       7.181254746123e-04       2.807164735036e+03 
       7.675679828355e-04       2.989598688668e+03 
       8.204195717702e-04       3.183392051261e+03 
       8.768230094416e-04       3.388825934171e+03 
       9.368910358841e-04       3.606042736979e+03 
       1.000700823592e-03       3.835028291567e+03 
       1.068289905770e-03       4.075600884092e+03 
       1.139654055821e-03       4.327408982730e+03 
       1.214747393270e-03       4.589938247545e+03 
       1.293484722253e-03       4.862527669764e+03 
       1.375745835255e-03       5.144373126623e+03 
       1.461381295461e-03       5.434593377393e+03 
       1.550219087820e-03       5.732263472199e+03 
       1.642071514798e-03       6.036405784109e+03 
       1.736741792394e-03       6.346036421236e+03 
       1.834029941195e-03       6.660188639915e+03 
       1.933737727182e-03       6.977931521358e+03 
       2.035672555336e-03       7.298383938363e+03 
       2.139650336230e-03       7.620723679759e+03 
       2.245497424536e-03       7.944193037770e+03 
       2.353051771073e-03       8.268101339724e+03 
       2.462163444140e-03       8.591823804925e+03 
       2.572694670398e-03       8.914800366336e+03 
       2.684519528660e-03       9.236531934033e+03 
       2.797523407930e-03       9.556577011109e+03 
       2.911602318308e-03       9.874547316472e+03 
       3.026662122317e-03       1.019010283942e+04 
       3.142617736156e-03       1.050294820509e+04 
       3.259392335709e-03       1.081282812508e+04 
       3.376916590580e-03       1.111952358546e+04 
       3.495127940749e-03       1.142284625668e+04 
       3.613969924073e-03       1.172263822433e+04 
       3.733391558271e-03       1.201876461007e+04 
       3.853346777979e-03       1.231111555811e+04 
       3.973793925354e-03       1.259959857541e+04 
       4.094695291451e-03       1.288414105075e+04 
       4.216016704876e-03       1.316468067283e+04 
       4.337727163858e-03       1.344117439660e+04 
       4.459798507808e-03       1.371359108253e+04 
       4.582205124542e-03       1.398190816341e+04 
       4.704923689492e-03       1.424611239228e+04 
       4.827932933535e-03       1.450619277839e+04 
       4.951213436295e-03       1.476217463053e+04 
       5.074747442112e-03       1.501405022022e+04 
       5.198518696112e-03       1.526184798626e+04 
       5.322512298097e-03       1.550556226183e+04 
       5.446714572234e-03       1.574525211957e+04 
       5.571112950725e-03       1.598092689075e+04 
       5.695695869853e-03       1.621263173487e+04 
       5.820452677015e-03       1.644035748942e+04 
       5.945373547465e-03       1.666418186654e+04 
       6.070449409683e-03       1.688411795404e+04 
       6.195671878394e-03       1.710020896079e+04 
       6.321033194380e-03       1.731248191900e+04 
       6.446526170334e-03       1.752097573816e+04 
       6.572144142081e-03       1.772572057076e+04 
       6.697880924598e-03       1.792675926533e+04 
       6.823730772287e-03       1.812412299845e+04 
       6.949688343070e-03       1.831784997501e+04 
       7.075748665881e-03       1.850798008607e+04 
       7.201907111211e-03       1.869453757975e+04 
       7.328159364377e-03       1.887756510203e+04 
       7.454501401243e-03       1.905709532461e+04 
       7.580929466136e-03       1.923317127276e+04 
       7.707440051741e-03       1.940581025722e+04 
       7.834029880772e-03       1.957507171381e+04 
       7.960695889247e-03       1.974097277940e+04 
       8.087435211214e-03       1.990354974342e+04 
