# Matter power spectrum P(k) at redshift z=0
# for k=1.04595e-05 to 1.0871 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045945127612e-05       4.767652902426e+01 
       2.331030718023e-05       1.034008053051e+02 
       3.620623530250e-05       1.582194676274e+02 
       4.918177117858e-05       2.126936905539e+02 
       6.227201971131e-05       2.671472356457e+02 
       7.551296673595e-05       3.218252895150e+02 
       8.894180051391e-05       3.769391775602e+02 
       1.025972474121e-04       4.326847117893e+02 
       1.165199260580e-04       4.892516609772e+02 
       1.307527242929e-04       5.468295250530e+02 
       1.453412032548e-04       6.056115706187e+02 
       1.603340328627e-04       6.657980048193e+02 
       1.757834628033e-04       7.275987058630e+02 
       1.917458327621e-04       7.912357369251e+02 
       2.082821250011e-04       8.569457704717e+02 
       2.254585613378e-04       9.249824949217e+02 
       2.433472449629e-04       9.956190396468e+02 
       2.620268451269e-04       1.069150434610e+03 
       2.815833192738e-04       1.145896076987e+03 
       3.021106623714e-04       1.226202176797e+03 
       3.237116666235e-04       1.310444099159e+03 
       3.464986660462e-04       1.399028497879e+03 
       3.705942291804e-04       1.492395082947e+03 
       3.961317492422e-04       1.591017805355e+03 
       4.232558642807e-04       1.695405196409e+03 
       4.521226209217e-04       1.806099504151e+03 
       4.828992752975e-04       1.923674231854e+03 
       5.157636062402e-04       2.048729594806e+03 
       5.509026026750e-04       2.181885413269e+03 
       5.885103850585e-04       2.323770958799e+03 
       6.287852368154e-04       2.475011377553e+03 
       6.719256638313e-04       2.636210509425e+03 
       7.181254746123e-04       2.807930266459e+03 
       7.675679828355e-04       2.990667159285e+03 
       8.204195717702e-04       3.184827095211e+03 
       8.768230094416e-04       3.390700229059e+03 
       9.368910358841e-04       3.608437894483e+03 
       1.000700823592e-03       3.838034178330e+03 
       1.068289905770e-03       4.079314254982e+03 
       1.139654055821e-03       4.331931370989e+03 
       1.214747393270e-03       4.595373036491e+03 
       1.293484722253e-03       4.868976807336e+03 
       1.375745835255e-03       5.151932677716e+03 
       1.461381295461e-03       5.443349730021e+03 
       1.550219087820e-03       5.742289522639e+03 
       1.642071514798e-03       6.047757330405e+03 
       1.736741792394e-03       6.358749559905e+03 
       1.834029941195e-03       6.674278275454e+03 
       1.933737727182e-03       6.993390969798e+03 
       2.035672555336e-03       7.315185856350e+03 
       2.139650336230e-03       7.638821948322e+03 
       2.245497424536e-03       7.963525504732e+03 
       2.353051771073e-03       8.288593119182e+03 
       2.462163444140e-03       8.613390755853e+03 
       2.572694670398e-03       8.937352426305e+03 
       2.684519528660e-03       9.259976148100e+03 
       2.797523407930e-03       9.580819938320e+03 
       2.911602318308e-03       9.899496816242e+03 
       3.026662122317e-03       1.021566914345e+04 
       3.142617736156e-03       1.052904438379e+04 
       3.259392335709e-03       1.083937002520e+04 
       3.376916590580e-03       1.114642923580e+04 
       3.495127940749e-03       1.145003538957e+04 
       3.613969924073e-03       1.175003127379e+04 
       3.733391558271e-03       1.204628184359e+04 
       3.853346777979e-03       1.233867630608e+04 
       3.973793925354e-03       1.262712034809e+04 
       4.094695291451e-03       1.291153879048e+04 
       4.216016704876e-03       1.319186590877e+04 
       4.337727163858e-03       1.346805439747e+04 
       4.459798507808e-03       1.374006798114e+04 
       4.582205124542e-03       1.400787784569e+04 
       4.704923689492e-03       1.427146346619e+04 
       4.827932933535e-03       1.453081015005e+04 
       4.951213436295e-03       1.478591535145e+04 
       5.074747442112e-03       1.503675395212e+04 
       5.198518696112e-03       1.528342961567e+04 
       5.322512298097e-03       1.552583475471e+04 
       5.446714572234e-03       1.576401222964e+04 
       5.571112950725e-03       1.599801933208e+04 
       5.695695869853e-03       1.622783835331e+04 
       5.820452677015e-03       1.645353824896e+04 
       5.945373547465e-03       1.667509958890e+04 
       6.070449409683e-03       1.689253692245e+04 
       6.195671878394e-03       1.710593412218e+04 
       6.321033194380e-03       1.731532453331e+04 
       6.446526170334e-03       1.752068975970e+04 
       6.572144142081e-03       1.772208551875e+04 
       6.697880924598e-03       1.791954932417e+04 
       6.823730772287e-03       1.811313475607e+04 
       6.949688343070e-03       1.830286328851e+04 
       7.075748665881e-03       1.848877342383e+04 
       7.201907111211e-03       1.867093012589e+04 
       7.328159364377e-03       1.884933662390e+04 
       7.454501401243e-03       1.902403995327e+04 
       7.580929466136e-03       1.919510110469e+04 
       7.707440051741e-03       1.936254552177e+04 
       7.834029880772e-03       1.952642471636e+04 
       7.960695889247e-03       1.968678453990e+04 
       8.087435211214e-03       1.984364111379e+04 
       8.214245164771e-03       1.999704565857e+04 
       8.341123239287e-03       2.014704464792e+04 
       8.468067083672e-03       2.029367231145e+04 
       8.595074495633e-03       2.043696624610e+04 
